comment,label
Jawa bang??,1
Tiupin kopi saya plis 😬,0
Mnding minta doaa ke emak bapk lu dahh padaa,0
Coba Jawa? Ini ngaNu atau Muhammadiyah?😂,1
Laris manis jualan agama di djawa,1
Bukan mukhrim kan?,0
Udh ga kaget gondrong klo kga malak ya caboel🗿,0
Pada ngapain sih ya Allah 😭,0
Yg begini cuma ada dan cuma laku di Jawa,1
Gondrong doang kagaa nyopet,0
Pentingnya berfikir rasional,0
Muka gue klo di sntuh orng smbarangan dah pelecehan bangt tu,0
Lucu lucu ya,0
India dan indonesia banyak persamaan,1
Tebak daerah 🗿,1
NU sesaaaaaaaaaaattttt,1
Pulau mana nih😂,1
iki konser opo @ibnu_drmwwn @usman_ababil2311,0
Feast - Kami belum tentu💃🏻🎶🎼,0
Tipikal wong jowo,1
asli Padang ieu teh,1
Bisnis bebas pajak,0
@alfin.juliyanto.726  lagi ngapa kie,0
@nafisyendiana_ ini namya gondrong apa pis…,0
Orang tolol yang di utamakan. Pasti kelakuan dari ngaNU,1
GOBLOOK !!!,0
Pada main apa sih ini 🗿🗿,0
Jamet dengan segala bisnis nya,1
Apa yg mereka harapkan dengan bertindak seperti itu semulia ap emang ny manusia yg mereka sembah2 itu 😢 bahkan rosulluloh pun tidak  suka jika umat ny  berbuat seperti itu terhadap brliau,0
Wong tolol wkwk,0
Lah ini pemulung dari mana?,0
Cicak menyebut nya yasus 2🗿,0
Pasti orang jawa,1
Jawa.,1
modal rambut gondrol di cat merah,0
SEKTE JAWA,1
Kalau kata saya mah pengikutnya yang agak lain😂,0
Dukun jaman sekarang 🤣🤣🤣,0
Jawa ni cocok bnget satu negara dgn india,1
Pada ngapain sih 😂,0
inisial JAWA,1
Bisnis paling menguntungkan di pulau Jawa,1
Pengajian kok wanita lelaki jadi satu bib? Dari situ aja udah salah,0
Bismillah mari sama2 hindari syirik dan segala bentuknya,0
Dia fikir dia pemegang kunci sorga 😂,0
Kalian ngajinya kurang jauh#kata mereka,0
Gak papa bang ngurangi saingan jadi orang waras,0
Arang gua gak nyala2 nih... Tiupin dong 🔥🗿🤣,0
Tolongin temen ku mau masuk surga jg bg @farhan__toriq @yudhaaprima,0
Seriusan orang jawa gini semua??!?,1
gausah dijelasin udah tau lah ya sukunya apa agamanya apa,1
amit amitv tinggal dijawa idih,1
@dihyaanwar mau ikutan ktanya,0
jawa islam emang agak lain,1
Dijaminnnnnnn masukkkk surgaaaaaa👍,0
@thatan_e.t melu pora we pas iki?,0
Kenapa sih jawa,1
MENYEDIHKAN,0
Tangan anak kecil lebih suci wooy🤣,0
indo syirik semua,1
Dia siapa sih,0
orang sesat semua😭,0
Modelan apa bgth dih 🤣,0
🗿🗿🗿aku kira udh 2024 kok msh jahiliyah,0
Astagfirullah pemahaman apa ini😭😭😭😭😭,0
Dh mau mnuju 2025 masih ada aja orang2 purba🗿,0
Untung di sunda gk tolol kyk di j�.,1
Astaghfirallah knp hari gini msh aja ada yg terbodohi spt itu,0
Kenapa nggak sekalian kau jilat saja kakinya 😂,0
Ini ngapa nyalahin jawa semua kayak sunda gk HAMA aja,1
Bersentuhan yg bukan mahram aja udah salah,0
Pasti jawa bagian tengah,1
Lempar aja sekalian pake gas 3kg bang nanti juga pinter,0
Dih jawa jawa 🤣,1
Sekte gondrong🗿,1
Ini di mana tolong di jawa,1
Biar apa itu,0
Gak semua jawa seperti itu ya temen temen,0
Naudzubillahi mindzaliq...merasa jd tuhan kah??😭 ya allah jauhkam aku dan anak cucu keturunan ku dr perbuatan musyrik syirik aamiin,0
Tipikal sdm indo mah gini rada rada semuaa wkwk,1
Biar berkah katanya,0
Bisa2nya mau kyk.gitu 😂,0
Ini negaraaa apasihh??😭😭😭,0
Baunya hampir sama kyk orang prindapan pasti awokwwko,1
prindapan = jatim = HAMA,1
keranjang kuning manaa,0
Kaya di prindapan,1
Kok di jawa masih banyak yang kek gini,1
Seorang Abuya aja gk seperti ini ..,0
Jualan apa yg ga ada ruginya? Ya jualan agama,0
Di emut juga skalian,0
Jawa van java,1
Beda perlakuan antara perempuan dan laki-laki,0
😂 dah lah kiamat aja Tuhan...,0
Lahi trend di pulau jawa,1
pastii orng jawa,1
Udah tau kan tempat jamet dimana?,1
Kok makin stress org2 😭,0
gondrong modelan begini kalo kaga nyopet ya cabul,0
Apa itu anjir wkwkwk,0
Dia siapa lagi sih ?😭,0
Emang aneh di sana,0
Tebak.daerah,1
kebiasaan sunda mah nyalahin jawa terus,1
Gus miftah mending CallOut nih orang🤣,0
Nabi Muhammad datang untuk memberikan pencerahan agar tidak mengkultuskan manusia,0
Alay alay,0
miris sekali liatnya kayak gapernah belajar agama,0
goblok banget🗿,0
Penyakit jawa penyebar hama,1
Supaya apaaa sihh bangg😭😭,0
capek ngelihat kelakuan tolol para jawir,1
Pasien selanjutnyaaaa🤣🗿,0
kek nyembah wkwkwkw,0
Capeee bgt liat sdm jawaa,1
sdm kayak gini Cuma ada di jawa,1
Orang orang pada kenapa sih😭,0
Orang jawa panutan nya aneh aneh 😂🤣🤣🤣,1
Prindavan jalur 2,1
Apa apaan ini,0
bang ni konsepnya gimana bang @anaklanang_350,0
DELETE JAWA,1
Tersesat oh tersesat wkwk,0
Jual agama terus,0
Hahaha jawa🤣,1
Jaman sekarang aneh² orang nya,0
Yesus kh ini? Mirip loh rambutnya,1
Lah enak bgt itu ... klepaak 🤣,0
Alkhamdulilahhh aku lebih bangga di sebut wahabi penting saya masih warasss,1
ini yg peternak cupang bukan sh?,0
apaan dah gw orang kalimantan miris liat kelakuan orang jawa kek gini,1
apasih ini njirlah,0
lama lama kaya prindafan 🤣🤣,1
Di agamaku islam gda kek gini ini agama apa woy,1
gimana sih proses mereka bisa jual agama sampek banyak orang percaya gitu dan mau turut andil?,0
Ya Allah ampuni hambamu semuanya ya Allah🤲🏻🤲🏻,0
Itu guru cewek apa cowok sih?? Panjang amat rambutnya?,0
Tebak daerah 🤣🤣🤣 aku kasih clue huruf depannya J,1
JAWAAAAAAAAAA,1
sudah gk ketolong jiwa HAMA orang jawa sudah terlalu kuat,1
Ngapain si ini orang,0
akhh cuihh NU tukang bid'ah,1
ngapa si orang percaya bgtuan 😭,0
Alhamdulillah lahir di sunda🔥,1
tebak lokasi??,1
Tebak hama ayo di mana?,1
Dunia bener bneer ga baik baik aja😢,0
ketika SDM rendah bertemu SDM rendah = main gus gus-an,0
ini mereka ngapain astaga jawir gaada kerjaan ya,1
Giliran ke cewek😍😍😍 ke cowok 😡😡,0
Tebak daerah mana ?,1
Jenglot dipercaya,0
Aura dukun nya kental.😂🤣,0
tebak daerah😂 @farhansykess_____,1
Kini yg sesat sufi ataukah salaf yg biasa disebut wahabi??,0
Gondrong meresahkan,0
g heran jawa,1
Jawa oh jawa,1
Emak Lo noh cium kaki tangan nya bukan si gondrong yg satu ini hadeh 😂,0
Nyembah patung yss kah?,0
Tebak pulau?,1
Padahal bau SAMSU looh 🗿😭,0
beliau siapa?,0
Astaghfirullah.. Akhir zaman,0
JAWA + NU=,1
Samsudin versi terbaru,0
Anjay menyala pirangkuh🗿,0
Jawa bagian mna nih🤣🤣,1
sudahkah kalian menghina jawa hari ini? Kalo belum silahkan ini tempatnya,1
Jawaaa jawaw,1
gk bosen bosen ngetawain orang hina jawa,1
astaga ini maksudnya gimana ya perasaan dulu mondok 5 tahun gapernah diajarin gini,0
SDM Rendah,1
@khoirul_a_syaif ini yang aku cerita itu yang,0
Ini apa lagi😭😭😮,0
Sudah seperti di india🗿🗿🗿🗿🗿 kepercayaan orang indo,1
Yg kek gini hrus d musnahkan juga,0
Fix pasti Jawaaa🗿,1
Tolong menteri agama tindak tegas yg beginian sudah merajalela di Jawa,1
Pasti dijawa timur,1
Kerajaan apa nih,0
Info pelet nya mbahhhh,0
Ini pasti di jawa😂,1
D kira ketua guild sebelah 🗿,1
Urus tu kaum lu,1
Ini lagi taun goblok disembah😂 keliatan dri muka aj cabul,0
Perasaan para wali songo gak ada yang mengajarkan begitu �,0
ini sesembahan manusia mana ini,0
rambut panjang melebihi bahu itu di larang karena tasyabbuh bin nisa trs di kalung dan memakai gelang itu di larang karena sama tsyabbuh bin nisa ini apa guru sama pengikut nya sama sama tasyabbuh bin nisa,0
sudah saatnya menghina jawa,1
beliau itu siapa?,0
mirip kek di india,1
pls teh saya masih panas tolong tiupin,0
kalau gue di geplak gitu gak terima geplak balik walau pun dia tua tapi atitud di atas semua nya,0
paling bener jualan agama..🗿🗿,0
gondrong dikit = orang Soleh 🤣🤣🤣🤣🤣,0
Fungsi di geplak dlu tuh biar dapet hidayah apa dapet sakitnya?,0
Biar ku tebak. Pasti JAWAAA JAWAAAAAA JAWAAAAA JAWAAAAA JAWAAAA JAWAAAA DAN JAWAAAAA JAWAAAAAAA JAWAAAAA,1
Efeknya apa bang ?,0
Jawa kan ini,1
Modal cuman niupin gitu bisa laris yaaa😭,0
Gak heran jawa,1
gk jawa gk madura sama ae,1
Untung di sumatra gada umatnya kyk gini🗿🤣,1
Yg jualan agama begini laku keras,0
Cium tangan ke dua orang tua...berkah,0
Agama semakin jadi misteri,0
Odgj pulak di puja2 kn aneh,0
Jenggut rambutnya,0
gondrong topi sihir,0
CUMA APA? YA BETUL CUMA DIJAWA,1
Dukun ngk sih,0
Beda bentuk beda perasaan,0
Nabi islam kah,1
Patut la di sana sering datang nya becana Allahu,1
Percuma Lo minta doa gus2an kalo masih ngelawan orang tua,0
Jawa lg Jawa lg....memang unik yah kadang2😁😆,1
feodalisme,0
Jual agama~~ jual agama~~ hummmm enaakk🥰,0
Gondrong² ada ada ajah kelakuan nya🗿,0
Jawa prindavan 🤣,1
Yg baju hijau sehabis salam langsung mabuk😢,0
Kenapa di Sunda tidak ad? Gus tampleng gus🔥,1
tiupin silit aku dong,0
jadi pengen pindah negara😢,0
biasalah hanya di kono...,1
Udah berasa jadi dewa,0
Jawa❌jahiliyah ✅,1
TAK PERLU MENJADI ISLAM UNTUK MENYATAKAN  HAL INI SALAH,0
Gondrong jual obat yg laen abis obat,0
Alasan gw males belajar agama,0
Kakek sedang memilih calon untuk di bibit😂😂😂,0
Udah kebaca ini daerah mana ? 😂😂,1
Laku bgt yg beginian di sonoh yaaaaaa,1
jawa tolol!,1
Ini mah modus biar bisa itclik,0
sdm jawa sangat meresahkan,1
Ada aja gebrakannya😂,0
Hangok surya beraksi😂,0
JAWA HAMA!!!,1
Semoga mereka semua dilaknat,0
Kok jadi aneh,0
keplak balik dong lanang kok gitu,0
Suatu pulau diindonesia,1
tebak ormas,1
Gondrong pemberani,0
Mending ngumpulin liur walet,0
Dari jawa untuk jawa 🗿 target pasar mreka ya wong jowo,1
pakenya shampo apa bang ?,0
singkat padat pasti jawa,1
Gak jauh beda sama prindavan,1
Pen gw Jambak,0
Hahahahahaha asik bener yak jualan agama,0
Saya melihat. Dengan mata saya,0
