comment,label
jawa bang,1
tiupin kopi saya plis <EMOJI_GRIMACING_FACE>,0
mending minta doa ke emak bapk kamu deh pada,0
coba jawa ini nganu atau muhammadiyah <EMOJI_FACE_WITH_TEARS_OF_JOY>,1
laris manis jual agama di djawa,1
bukan mukhrim kan,0
sudah tidak kaget gondrong kalau kga malak ya caboel <EMOJI_MOAI>,0
pada kapai sih ya allah <EMOJI_LOUDLY_CRYING_FACE>,0
yang begini hanya ada dan hanya laku di jawa,1
gondrong doang kagak nyopet,0
penting pikir rasional,0
muka saya kalau di sntuh orang smbarangan deh leceh sangat itu,0
lucu lucu ya,0
india dan indonesia banyak sama,1
tebak daerah <EMOJI_MOAI>,1
nu sesat,1
pulau mana nih <EMOJI_FACE_WITH_TEARS_OF_JOY>,1
iki konser opo,0
feast kami belum tentu <EMOJI_WOMAN_DANCING_LIGHT_SKIN_TONE> <EMOJI_MUSICAL_NOTES> <EMOJI_MUSICAL_SCORE>,0
tipikal wong jawa,1
asli padang ieu teh,1
bisnis bebas pajak,0
lagi ngapa kie,0
ini namya gondrong apa pis,0
orang tolol yang di utama pasti laku dari nganu,1
goblook,0
pada main apa sih ini <EMOJI_MOAI> <EMOJI_MOAI>,0
jamet dengan segala bisnis nya,1
apa yang mereka harap dengan tindak seperti itu mulia apa memang nya manusia yang mereka sembah itu <EMOJI_CRYING_FACE> bahkan rosulluloh pun tidak suka jika umat nya buat seperti itu hadap brliau,0
wong tolol wkwk,0
lah ini pulung dari mana,0
cicak sebut nya yasus <EMOJI_MOAI>,0
pasti orang jawa,1
jawa,1
modal rambut gondrol di cat merah,0
sekte jawa,1
kalau kata saya mah ikut yang agak lain <EMOJI_FACE_WITH_TEARS_OF_JOY>,0
dukun jaman sekarang,0
jawa nih cocok sangat satu negara dengan india,1
pada kapai sih <EMOJI_FACE_WITH_TEARS_OF_JOY>,0
inisial jawa,1
bisnis paling untung di pulau jawa,1
aji kok wanita lelaki jadi satu bib dari situ saja sudah salah,0
bismillah mari sama hindar syirik dan segala bentuk,0
dia fikir dia pegang kunci sorga <EMOJI_FACE_WITH_TEARS_OF_JOY>,0
kalian ngajinya kurang jauh kata mereka,0
tidak papa bang ngurangi saing jadi orang waras,0
arang saya tidak nyala nih tiupin dong <EMOJI_FIRE> <EMOJI_MOAI>,0
tolongin teman ku mau masuk surga juga bang,0
serius orang jawa begini semua,1
tidak usah dijelasin sudah tau lah ya suku apa agama apa,1
amit amitv tinggal dijawa idih,1
mau ikut kata,0
jawa islam memang agak lain,1
jamin masuk surga <EMOJI_THUMBS_UP>,0
melu pora we pas iki,0
kenapa sih jawa,1
sedih,0
tangan anak kecil lebih suci wooy,0
indonesia syirik semua,1
dia siapa sih,0
orang sesat semua <EMOJI_LOUDLY_CRYING_FACE>,0
model apa bgth dih,0
<EMOJI_MOAI> saya kira sudah kok masih jahiliyah,0
astagfirullah paham apa ini <EMOJI_LOUDLY_CRYING_FACE>,0
deh mau mnuju masih ada saja orang purba <EMOJI_MOAI>,0
untung di sunda tidak tolol seperti di saja,1
astaghfirallah kenapa hari begini masih saja ada yang bodoh seperti itu,0
kenapa tidak sekali kamu jilat saja kaki <EMOJI_FACE_WITH_TEARS_OF_JOY>,0
ini ngapa salah jawa semua seperti sunda tidak hama saja,1
